Анализ характеристик крылатого объекта
Время расчета: 2025-10-26 22:54:32

Параметры расчета:
Масса_кг,2400
Размах_крыла_м,3.0
Хорда_м,0.6
Площадь_крыла_м2,1.7999999999999998
Удлинение_крыла,5.0
Тяга_на_уровне_моря_кгс,450
Удельный_расход_топлива_кг_кгс_ч,0.71
Угол_стреловидности_град,8
Угол_атаки_град,10
Коэффициент_Освальда,0.85
Диапазон_высот_м,100 - 990
Диапазон_скоростей_мс,190.0 - 220.0
Диапазон_CD0,0.100 - 0.340
Оптимальная_высота_для_графиков_м,990

Результаты расчетов:
Высота_м,Скорость_мс,Число_Маха,Коэф_подъемной_силы_CL,Коэф_сопротивления_CD,CD0,Подъемная_сила_Н,Сопротивление_Н,Требуемая_тяга_Н,Требуемая_тяга_кгс,Доступная_тяга_кгс,Доступная_тяга_Н,Расход_топлива_кгч,Требуемая_тяговооруженность,Доступная_тяговооруженность,Число_Рейнольдса,Плотность_воздуха_кгм3,Скорость_звука_мс,Температура_K,Давление_Па,Вес_Н,Удлинение_крыла,Площадь_крыла_м2,Возможность_полета
100,190.0,0.5589665653043082,0.784607877514014,0.1461069639314471,0.1,30928.349285614266,5759.370181000673,5759.370181000673,587.2923150108012,372.0235530883869,3648.3047768942292,264.1367226927547,0.24471281315849402,0.15501467993124202,7743528.827673042,1.2132613585207177,339.9129962210918,287.5,100129.45897809406,23535.221170746303,5.0,1.7999999999999998,False
100,190.0,0.5589665653043082,0.784607877514014,0.22610696393144708,0.18,30928.349285614266,8912.879104067722,8912.879104067722,908.8607326730048,372.0235530883869,3648.3047768942292,264.1367226927547,0.3787038600319682,0.15501467993124202,7743528.827673042,1.2132613585207177,339.9129962210918,287.5,100129.45897809406,23535.221170746303,5.0,1.7999999999999998,False
100,190.0,0.5589665653043082,0.784607877514014,0.3061069639314471,0.26,30928.349285614266,12066.388027134772,12066.388027134772,1230.4291503352085,372.0235530883869,3648.3047768942292,264.1367226927547,0.5126949069054424,0.15501467993124202,7743528.827673042,1.2132613585207177,339.9129962210918,287.5,100129.45897809406,23535.221170746303,5.0,1.7999999999999998,False
100,190.0,0.5589665653043082,0.784607877514014,0.38610696393144706,0.33999999999999997,30928.349285614266,15219.896950201819,15219.896950201819,1551.997567997412,372.0235530883869,3648.3047768942292,264.1367226927547,0.6466859537789165,0.15501467993124202,7743528.827673042,1.2132613585207177,339.9129962210918,287.5,100129.45897809406,23535.221170746303,5.0,1.7999999999999998,False
100,192.14285714285714,0.5652706994994696,0.7882616684434607,0.14653738903660593,0.1,31777.210596049616,5907.365102259158,5907.365102259158,602.3835970753681,371.1782119354232,3640.0148120765175,263.5365304741504,0.25100104474912976,0.15466244339360471,7830861.859564091,1.2132613585207177,339.9129962210918,287.5,100129.45897809406,23535.221170746303,5.0,1.7999999999999998,False
100,192.14285714285714,0.5652706994994696,0.7882616684434607,0.22653738903660592,0.18,31777.210596049616,9132.406924607152,9132.406924607152,931.2463404533814,371.1782119354232,3640.0148120765175,263.5365304741504,0.3880314894154684,0.15466244339360471,7830861.859564091,1.2132613585207177,339.9129962210918,287.5,100129.45897809406,23535.221170746303,5.0,1.7999999999999998,False
100,192.14285714285714,0.5652706994994696,0.7882616684434607,0.30653738903660593,0.26,31777.210596049616,12357.448746955148,12357.448746955148,1260.1090838313949,371.1782119354232,3640.0148120765175,263.5365304741504,0.5250619340818071,0.15466244339360471,7830861.859564091,1.2132613585207177,339.9129962210918,287.5,100129.45897809406,23535.221170746303,5.0,1.7999999999999998,False
100,192.14285714285714,0.5652706994994696,0.7882616684434607,0.3865373890366059,0.33999999999999997,31777.210596049616,15582.490569303141,15582.490569303141,1588.971827209408,371.1782119354232,3640.0148120765175,263.5365304741504,0.6620923787481459,0.15466244339360471,7830861.859564091,1.2132613585207177,339.9129962210918,287.5,100129.45897809406,23535.221170746303,5.0,1.7999999999999998,False
100,194.28571428571428,0.5715748336946309,0.7920266522552861,0.14698300489803096,0.1,32645.130433198327,6058.229672823014,6058.229672823014,617.7675019321597,370.3328707824594,3631.7248472588053,262.93633825554616,0.2574112063307586,0.1543102068559674,7918194.891455141,1.2132613585207177,339.9129962210918,287.5,100129.45897809406,23535.221170746303,5.0,1.7999999999999998,False
100,194.28571428571428,0.5715748336946309,0.7920266522552861,0.22698300489803094,0.18,32645.130433198327,9355.60663257473,9355.60663257473,954.0063765480293,370.3328707824594,3631.7248472588053,262.93633825554616,0.3975151354941809,0.1543102068559674,7918194.891455141,1.2132613585207177,339.9129962210918,287.5,100129.45897809406,23535.221170746303,5.0,1.7999999999999998,False
